file_name,zero_crossing,spectral_centroid,spectral_rolloff,spectral_bandwidth,chroma_frequency,rmse,delta,melspectogram,tempo,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,label
#OSTAD - New Bangla Rap song  DDC Bangladesh  hip hop  Full Official Video  2017.mp3,150977,2134.0040938109696,4905.705634994631,2492.02741421582,0.39070110482912296,0.2728753,7.662492e-08,18.874160721582825,89.10290948275862,-81.20704463711249,81.02594712054974,6.758654695361668,24.75448534157418,-9.642650040319582,11.821491309332607,-2.0396961665979045,8.97877056779947,3.196028028799133,7.985878398133343,-4.513699853857562,4.458009751935461,2.5572302330340513,5.589688051539988,4.155813613908527,9.300202997358113,-3.120856951522765,6.75644304783527,-0.3973778900851587,5.054115426047385,hiphop
#PINIK -  New Bangla Rap song  DDC Bangladesh  hip hop  Full Official Music Video  2018.mp3,239132,2223.4590943091057,4569.036228949602,2304.966858179003,0.39568616474853613,0.104943626,1.04508125e-07,3.714089957553709,117.45383522727273,-191.44243893404365,93.12380550812466,4.569422800877726,27.609872366099847,1.0512555534058488,4.059895100934586,1.0101735766819355,0.7596379972629103,-0.539011063790202,-1.2219562438372922,-9.516201450320771,5.342434182799922,-2.0912056449587406,-3.804060374875672,-2.659346277823483,1.6291189372376307,-7.027153840963567,1.3466633904867054,-4.994398829197196,-0.3529331762150503,hiphop
(Dui Taka)  Skibkhan  BanglaTape  Deshi Mcs  Bangla Rap 2018.mp3,170419,2364.63631679294,5177.847925615278,2624.7784355701697,0.42590730991445713,0.25495088,-2.3829813e-07,18.18560320276859,92.28515625,-79.77769815558572,85.1269063468979,9.039823459757098,13.172085470562681,8.368647102530545,4.893923556265239,4.061870649852282,12.545065509589074,-2.9938997275539516,8.91777940211917,-0.8621650686900103,10.162080133512696,2.562172602431493,5.1474710244409065,2.093578041326474,0.9178214292473084,-0.33228136555126314,3.80795527535848,-2.4428881512546035,1.1824238028385643,hiphop
(Keno Ei Poth Nile lyrics).mp3,167808,2070.324921728065,4651.139377711792,2526.3886353445914,0.39422681506868906,0.24053271,-3.6591683e-08,15.91430413619825,95.703125,-82.12201823451599,110.08991168780742,25.08898744907043,15.590520141464284,3.341093420921425,2.4651803736026827,-3.609806454693641,5.227002141876826,5.675888118510137,9.998346886678112,-1.8469778792634188,9.779078821840539,1.4248724495427603,6.583120819049387,2.5019561338374032,5.093772881092142,-3.061230177654968,5.776625282733425,-2.3640877621746177,3.0525650316746455,hiphop
(N) 52 New bangla rap song 2015 by Towfique & A.B.D.mp3,229952,2156.818504452099,4416.89892430745,2159.891210370854,0.31518241811223396,0.11298562,-3.044996e-08,4.133115796711822,161.4990234375,-159.7845338621965,95.72525076917132,-13.311334837791154,25.92866269874028,-7.079387716235291,8.81104877945791,-6.824224063972347,4.707557599660637,-5.962872450404882,-1.874036893249568,-9.058949235061139,-3.9518811176896858,-6.3632544604606265,-4.519791298885046,-2.7776057951406457,-1.3433327701109778,-1.9205339324138304,-3.888810294322824,-3.7691186539849024,2.4638164232009134,hiphop
02 - Stoic Bliss - Abar Abar Jigay.mp3,288053,3078.8263496583972,6361.184180095629,2833.363514512275,0.4150633512433942,0.09964171,1.7827412e-07,2.464351623052962,129.19921875,-147.81471102018233,63.15884425880644,11.100490431190224,10.771002555248694,6.410428139883077,7.5782961402001865,-1.4015017936562408,9.718692307152562,-5.547163610296099,13.750531811979306,-0.9494266938092766,3.5197206272262878,6.118080523315706,4.645197929491417,4.620517804247243,11.432594277354005,-3.160749501527911,5.893251260407739,0.28354228483945526,-1.2743117981140561,hiphop
03 - Stoic Bliss - Pakhi Paka Pepe Khay.mp3,292319,2878.9983174049917,5759.059425426631,2694.2991137533404,0.4016597687189077,0.09184666,-1.6455638e-07,2.082193216820671,117.45383522727273,-175.9606205160479,74.98852457782797,16.14420388893896,12.010244016168876,13.86500681134739,9.405302336861654,1.6198450850671606,11.744886847527761,-3.530116482781268,13.532320614111047,2.1152762758317625,10.121420209325894,5.211289913349617,-0.7132005525339767,-1.2555892667513295,2.4474925801646426,-7.853488608684163,4.8383545559269105,2.37632601652593,-2.511094885096237,hiphop
2015 _ Bangla rap song__4 Kolki Ganza by Mc ontor-(yo yo honey singh Char botol vodka)Bangla vertion.mp3,203462,2092.468528000018,4157.29922938321,2087.9735977876144,0.3311967323414809,0.2883425,-4.1341576e-07,22.2208864722587,117.45383522727273,-79.54392890469875,95.67143198722526,-3.038171141690526,13.2127692947096,-23.921941720934527,8.662568111520994,-12.958733996044334,0.1891139675380877,-3.0786761608569275,-0.8072820719094775,1.9822857500934967,6.594894147617547,-3.497363969324413,-1.0930433364451704,-1.6867927654273387,2.1660633159124325,-1.0435077800141286,4.3032693452863935,-0.7564322801070729,3.7635161009975824,hiphop
2016 New Bangla Rap Song 'Eve teasinG' Official Video Mc Biplob ft Ak Akash.mp3,195253,2069.971583152154,4428.74293596362,2336.137293602723,0.3337924839022424,0.14690381,-2.8573693e-08,5.465588295106023,99.38401442307692,-130.8158156923726,110.43377509313346,4.8758573219862,14.246862928164802,17.68433707314546,3.7788505993826353,0.1513022657261079,3.4852082202791403,-11.64698944758907,2.9102691169572834,-8.74001809976218,-2.7026894735389266,-8.95792374660632,-0.931462337666143,-0.2903889596341121,-3.389684098051346,-4.924787844399153,2.895877169245771,-5.872736738224299,0.05114178993533837,hiphop
ADIACOT X CRUIZER LANE - BEAST COAST CYPHER 2019.mp3,253761,2704.1859923058178,5852.0391665729485,2715.6803937017858,0.4405991893849335,0.2711856,-1.417745e-07,16.835549220014947,129.19921875,-26.29906261919876,84.45779626636329,8.375245936583404,14.657244699383359,4.837355032231349,9.1506892884932,1.2942894479960891,11.045956747711609,-5.892287787357058,8.429098667521297,-1.48021750220274,8.607256692435799,-1.5656356073616642,5.210188604786141,2.235556430816481,4.572188998342519,-3.0926630181197483,3.417053308799568,-6.153727933910787,-1.4298124550823752,hiphop
